multiplier,generation,strategy,share
Constant(1),55,Random,4.52649506064136e-07
Constant(1),55,TfT,0.15135840436402148
Constant(1),55,SuspiciousTfT,3.0593616030458707e-06
Constant(1),55,TFT2,0.15682463851349007
Constant(1),55,Grim,0.12466675375125696
Constant(1),55,GenerousTfT,0.1624642498293663
Constant(1),55,ContriteTfT,0.15135840436402132
Constant(1),55,Pavlov,0.12675060062035473
Constant(1),56,AllC,0.1265735697449548
Constant(1),56,AllD,3.906498832337049e-13
Constant(1),56,Random,3.592638716105977e-07
Constant(1),56,TfT,0.1513585064832119
Constant(1),56,SuspiciousTfT,2.526094121879669e-06
Constant(1),56,TFT2,0.15682481372226084
Constant(1),56,Grim,0.12466666157715818
Constant(1),56,GenerousTfT,0.16246443485939624
Constant(1),56,ContriteTfT,0.15135850648321172
Constant(1),56,Pavlov,0.12675062177142224
Constant(1),57,AllC,0.12657367976815162
Constant(1),57,AllD,2.4039332998422535e-13
Constant(1),57,Random,2.851445356790132e-07
Constant(1),57,TfT,0.15135859028549226
Constant(1),57,SuspiciousTfT,2.0857793044412765e-06
Constant(1),57,TFT2,0.15682495811678399
Constant(1),57,Grim,0.12466658464366988
Constant(1),57,GenerousTfT,0.1624645871612174
Constant(1),57,ContriteTfT,0.1513585902854921
Constant(1),57,Pavlov,0.1267506388151123
Constant(1),58,AllC,0.12657377064653544
Constant(1),58,AllD,1.479303012353912e-13
Constant(1),58,Random,2.2631668464188656e-07
Constant(1),58,TfT,0.15135865907028276
Constant(1),58,SuspiciousTfT,1.7222146153645765e-06
Constant(1),58,TFT2,0.15682507712478932
Constant(1),58,Grim,0.12466652046464202
Constant(1),58,GenerousTfT,0.16246471253786018
Constant(1),58,ContriteTfT,0.1513586590702826
Constant(1),58,Pavlov,0.12675065255415988
Constant(1),59,AllC,0.12657384571039346
Constant(1),59,AllD,9.103153842838768e-14
Constant(1),59,Random,1.7962554600493038e-07
Constant(1),59,TfT,0.1513587155398788
Constant(1),59,SuspiciousTfT,1.4220218269552883e-06
Constant(1),59,TFT2,0.15682517521623024
Constant(1),59,Grim,0.12466646695212673
Constant(1),59,GenerousTfT,0.1624648157605616
Constant(1),59,ContriteTfT,0.15135871553987865
Constant(1),59,Pavlov,0.1267506636334665
Constant(1),60,AllC,0.1265739077109153
Constant(1),60,AllD,5.6017875567098134e-14
Constant(1),60,Random,1.4256720607451766e-07
Constant(1),60,TfT,0.1513587619080784
Constant(1),60,SuspiciousTfT,1.1741546904904925e-06
Constant(1),60,TFT2,0.15682525607264472
