multiplier_name,strat_a,strat_b,repetition,total_a,total_b,coop_rate_a,coop_rate_b,rounds
Constant(1),Grim,AllC,2,600.0,600.0,1.0,1.0,200
Constant(1),Grim,AllD,2,199.0,204.0,0.005,0.0,200
Constant(1),Grim,Random,2,555.0,115.0,0.005,0.445,200
Constant(1),Grim,TfT,2,600.0,600.0,1.0,1.0,200
Constant(1),Grim,SuspiciousTfT,2,203.0,203.0,0.005,0.005,200
Constant(1),Grim,TFT2,2,600.0,600.0,1.0,1.0,200
Constant(1),Grim,Grim,2,600.0,600.0,1.0,1.0,200
Constant(1),Grim,GenerousTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),Grim,ContriteTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),Grim,Pavlov,2,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,AllC,2,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,AllD,2,178.0,288.0,0.11,0.0,200
Constant(1),GenerousTfT,Random,2,402.0,482.0,0.525,0.445,200
Constant(1),GenerousTfT,TfT,2,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,SuspiciousTfT,2,594.0,599.0,0.985,0.98,200
Constant(1),GenerousTfT,TFT2,2,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,Grim,2,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,GenerousTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,ContriteTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,Pavlov,2,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,AllC,2,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,AllD,2,199.0,204.0,0.005,0.0,200
Constant(1),ContriteTfT,Random,2,422.0,427.0,0.45,0.445,200
Constant(1),ContriteTfT,TfT,2,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,SuspiciousTfT,2,500.0,500.0,0.5,0.5,200
Constant(1),ContriteTfT,TFT2,2,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,Grim,2,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,GenerousTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,ContriteTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,Pavlov,2,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,AllC,2,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,AllD,2,100.0,600.0,0.5,0.0,200
Constant(1),Pavlov,Random,2,418.0,458.0,0.485,0.445,200
Constant(1),Pavlov,TfT,2,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,SuspiciousTfT,2,401.0,401.0,0.335,0.335,200
Constant(1),Pavlov,TFT2,2,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,Grim,2,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,GenerousTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,ContriteTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,Pavlov,2,600.0,600.0,1.0,1.0,200
Constant(1),AllC,AllC,3,600.0,600.0,1.0,1.0,200
Constant(1),AllC,AllD,3,0.0,1000.0,1.0,0.0,200
Constant(1),AllC,Random,3,267.0,822.0,1.0,0.445,200
Constant(1),AllC,TfT,3,600.0,600.0,1.0,1.0,200
Constant(1),AllC,SuspiciousTfT,3,597.0,602.0,1.0,0.995,200
Constant(1),AllC,TFT2,3,600.0,600.0,1.0,1.0,200
Constant(1),AllC,Grim,3,600.0,600.0,1.0,1.0,200
Constant(1),AllC,GenerousTfT,3,600.0,600.0,1.0,1.0,200
Constant(1),AllC,ContriteTfT,3,600.0,600.0,1.0,1.0,200
Constant(1),AllC,Pavlov,3,600.0,600.0,1.0,1.0,200
Constant(1),AllD,AllC,3,1000.0,0.0,0.0,1.0,200
